user_id,brand,month,compras,compras_anteriores,compras_futuras
512427856,apple,2019-10-01,5,0,1.0
512428018,unknown,2019-10-01,1,0,1.0
512428426,unknown,2019-10-01,1,0,8.0
512428501,indesit,2019-10-01,1,0,1.0
512428527,samsung,2019-10-01,1,0,1.0
512428570,xiaomi,2019-10-01,2,0,1.0
512429125,samsung,2019-10-01,1,0,1.0
512429451,samsung,2019-10-01,5,0,1.0
512429610,apple,2019-10-01,1,0,3.0
512429610,xiaomi,2019-10-01,1,0,2.0
512429687,huawei,2019-10-01,1,0,1.0
512429826,apple,2019-10-01,1,0,2.0
512429869,apple,2019-10-01,1,0,1.0
512429966,apple,2019-10-01,1,0,1.0
512430073,apple,2019-10-01,3,0,4.0
512430141,triangle,2019-10-01,1,0,1.0
512430531,samsung,2019-10-01,1,0,1.0
512430916,unknown,2019-10-01,1,0,1.0
512431276,samsung,2019-10-01,1,0,1.0
512431922,aerocool,2019-10-01,1,0,1.0
512431922,asrock,2019-10-01,1,0,1.0
512431922,unknown,2019-10-01,5,0,1.0
512432406,santeri,2019-10-01,1,0,1.0
512432442,apple,2019-10-01,4,0,2.0
512432494,unknown,2019-10-01,7,0,1.0
512432509,apple,2019-10-01,2,0,2.0
512432519,phantom,2019-10-01,3,0,2.0
512432519,ritmix,2019-10-01,3,0,1.0
512432519,samsung,2019-10-01,3,0,5.0
512432519,unknown,2019-10-01,1,0,1.0
512432653,unknown,2019-10-01,4,0,2.0
512432743,alteco,2019-10-01,2,0,1.0
512432743,xiaomi,2019-10-01,2,0,1.0
512432850,apple,2019-10-01,1,0,1.0
512433264,triangle,2019-10-01,1,0,1.0
512433381,samsung,2019-10-01,2,0,1.0
512433516,samsung,2019-10-01,3,0,2.0
512433589,samsung,2019-10-01,2,0,1.0
512433840,rals,2019-10-01,1,0,1.0
512434009,apple,2019-10-01,3,0,2.0
512434074,philips,2019-10-01,1,0,1.0
512434803,samsung,2019-10-01,6,0,4.0
512434925,apple,2019-10-01,10,0,10.0
512435003,dauscher,2019-10-01,6,0,1.0
512435317,oneplus,2019-10-01,1,0,7.0
512435438,samsung,2019-10-01,3,0,2.0
512435737,apple,2019-10-01,1,0,1.0
512435762,apple,2019-10-01,6,0,2.0
512435762,unknown,2019-10-01,1,0,1.0
512435861,samsung,2019-10-01,1,0,1.0
512435916,samsung,2019-10-01,2,0,5.0
512435944,xiaomi,2019-10-01,2,0,1.0
512436092,starline,2019-10-01,1,0,1.0
512436165,huawei,2019-10-01,3,0,2.0
512436165,samsung,2019-10-01,20,0,3.0
512436298,samsung,2019-10-01,1,0,2.0
512436422,cordiant,2019-10-01,2,0,1.0
512436449,lucente,2019-10-01,8,0,2.0
512436731,apple,2019-10-01,2,0,2.0
512437060,samsung,2019-10-01,1,0,1.0
512437594,samsung,2019-10-01,7,0,2.0
512437914,baden,2019-10-01,11,0,2.0
512437914,ergo,2019-10-01,2,0,1.0
512437914,unknown,2019-10-01,5,0,1.0
512438165,samsung,2019-10-01,1,0,1.0
